Country,CountryCode,Continent,C,C_Test,Html,Html_test,Java,Java_test,PHP,PHP_test,InternetPenetration,InternetUsers,UploadSpeed,Download,FixedBroadbandSubscriptions,ChargesIntellProperty,GovernmentExpenditureOnEducation,GrossEnrolmentRatio,HighTechnologyExports,GINIindex,IncomeShareLow20,SurveyMeanIncome,Unemployment,UnemploymentTertiaryEducation,GDP_BM
India,IND,AS,3.641011653,0.117048399,5.391386421,0.353330904,3.560517326,0.152848778,5.855736186,0.270123285,15.1,26,3.81,5.91,1.242699781,3.698340979,3.825599909,23.89011002,7.517758047,35.15,8.28,3.63,3.599999905,23.10000038,1582
Ireland,IRL,EU,7.509557184,0.25456126,9.3975532,0.275774699,8.527802226,0.65761659,8.61265598,0.275774699,78.2,80.1224,8.56,24.56,26.9118345,13836.24198,5.77466011,73.16847992,25.83143237,32.52,7.73,41.05,11.60000038,24.20000076,51297
Iceland,ISL,EU,15.0703181,0,13.86469266,0,12.96047357,0.301406362,15.97453719,0.301406362,96.5,98.2,36.95,43.4,35.9154697,356.9296775,7.047520161,82.22757721,19.91208832,26.94,9.18,46.47,5,24.20000076,50297
Israel,ISR,AS,7.95853457,0.402809265,5.907869221,0.256333169,5.761393124,0.207507803,5.627123369,0.219714145,70.8,78.8851791,3.32,28.02,27.24329902,135.518591,5.859940052,66.1810379,16.01278699,42.78,4.61,NA,6.099999905,28.10000038,35330
Italy,ITA,EU,1.764184427,0.048494169,1.617029707,0.053510807,1.493285966,0.085282849,2.030066251,0.102004976,58.5,65.5716,2.14,9.31,23.53658307,85.16596905,4.140530109,63.4550705,7.342364071,35.16,6.23,39.72,12.5,11.89999962,29848
Jamaica,JAM,NA,8.73950635,0.071342909,10.45173617,0.32104309,7.419662534,0.142685818,9.488606894,0.178357272,37.8,43.17589719,3.22,6.22,5.414891971,18.62191726,6.026060104,27.83267975,0.556905479,45.46,5.28,NA,13.19999981,3.900000095,5130
Jordan,JOR,AS,2.413588373,0.064534448,2.56847105,0.025813779,2.000567903,0.090348228,2.439402153,0.038720669,44.2,53.4,2.71,5.29,4.687432543,0.315274393,4.945139885,NA,1.552390639,NA,NA,NA,11.10000038,37,4936
Japan,JPN,AS,0.459137859,0.011082638,0.228777312,0.01583234,0.32693782,0.020582042,0.428264796,0.043538935,86.3,93.32941106,27.96,24.73,29.75510719,164.9484137,3.762949944,62.41162872,16.78252068,32.11,7.37,NA,3.700000048,33.20000076,32477
Kazakhstan,KAZ,AS,1.27132522,0.044804413,1.674564938,0.095209378,1.388936805,0.201619859,1.971394174,0.212820962,54,72.86601297,16.13,16.92,12.93439983,9.465970833,3.06072998,48.47533035,37.17247298,26.33,9.96,11.99,4.099999905,21.39999962,10511
Kenya,KEN,AF,1.316361748,0.012698023,2.025334715,0.046559419,1.792537621,0.029628721,2.873985939,0.044443082,39,45.62280061,6.07,7.47,0.223538938,3.202989737,5.508220196,NA,3.75860415,48.51,4.68,NA,9.199999809,NA,1377
Kyrgyz Republic,KGZ,AS,1.47503161,0.182307278,1.673912276,0.099440333,1.010976721,0.132587111,2.403141386,0.248600833,23.4,30.24704278,10.19,11.67,3.034765241,0.836240725,6.780200005,45.91783142,5.28717548,26.82,10.02,5.28,8.100000381,16.29999924,1103
Cambodia,KHM,AS,0.473866544,0.018954662,0.676049603,0.025272882,0.360138574,0.012636441,0.935096648,0.031591103,6,19,8,6.94,0.429061796,1.316368569,2.021120071,NA,0.30860022,30.76,9.05,5.36,0.400000006,NA,1159
Kiribati,KIR,OC,0.874087671,0,0,0,0,0,0,0,11.5,12.99748389,NA,NA,0.481037502,NA,11.98812008,NA,0.691640243,37.61,6.16,NA,NA,NA,1318
St. Kitts and Nevis,KNA,NA,3.559795668,0,7.119591335,0,3.559795668,0,3.559795668,0,NA,75.7,NA,NA,25.58542773,38.81657029,4.225299835,79.10482025,0.123009243,NA,NA,NA,NA,NA,15367
"Korea, Rep.",KOR,AS,0.338587492,0.003960088,0.138603067,0,0.285126309,0.007920175,0.198004381,0.011880263,NA,89.8962558,30.51,34.97,38.77630457,207.4400037,4.618229866,95.34542084,26.88054979,NA,NA,NA,3.5,21.10000038,27222
Kuwait,KWT,AS,1.197860023,0.049910834,0.723707097,0,0.8734396,0,0.773617932,0,75.5,82.07911476,7.85,9.63,1.379559696,NA,3.760010004,27.02705002,0.129891796,NA,NA,NA,3,9.600000381,28985
Lao PDR,LAO,AS,0.130088502,0,0.086725668,0,0.115634224,0.014454278,0.101179946,0,12.5,18.2,5.56,5.17,0.16371975,NA,4.190440178,17.29194069,NA,37.89,7.25,4.29,1.399999976,NA,1813
Lebanon,LBN,AS,1.836960412,0.05009892,1.53636689,0.01669964,1.51966725,0,1.937158252,0.06679856,70.5,74,1.17,3.19,22.79819989,5.931154966,2.572679996,42.77283096,2.069165314,NA,NA,NA,6.400000095,29.70000076,8052
St. Lucia,LCA,NA,1.073059238,0,4.292236953,0,3.219177715,0,3.755707334,0,35.2,52.35,NA,NA,15.34820641,21.30091193,4.841660023,16.86029053,5.186015595,42.58,5.23,NA,NA,4.5,7558
Liechtenstein,LIE,EU,0,0,2.647183397,0,2.647183397,0,7.941550191,0,93.8,96.6411951,NA,NA,41.96913481,NA,2.556040049,37.4887085,NA,NA,NA,NA,NA,NA,157040
Sri Lanka,LKA,AS,6.693634695,0.144155808,8.274543391,0.230649293,8.01986813,0.201818131,9.249997694,0.129740227,21.9,29.98873755,NA,NA,2.646679824,NA,1.621070027,20.70601082,0.836279814,39.16,7.14,7.51,4.599999905,40.79999924,3925
Lesotho,LSO,AF,0.138869023,0,0.231448372,0,0.185158697,0,0.138869023,0,5,16.0717077,5.52,7.27,0.071608683,1.794518314,12.98200989,9.842200279,0.003423032,54.18,2.84,NA,26.20000076,0.400000006,1019
Lithuania,LTU,EU,9.543759188,0.596484949,16.66649123,1.192969899,8.03500314,0.526310249,19.33312983,2.350852447,68.5,71.378,45.64,47.93,26.6551363,16.29959361,4.768789768,68.53141022,11.8604827,35.15,6.51,19.79,11.30000019,15.39999962,14173
Luxembourg,LUX,EU,19.60978268,0.1735379,4.685523295,0.520613699,17.52732788,0.3470758,10.75934979,1.214765299,93.8,97.3341,18.71,37.65,34.80133616,7835.91321,3.593019962,NA,6.823001118,34.79,7.06,70.85,6.099999905,32.20000076,101393
Latvia,LVA,EU,9.305930946,0.40905191,14.36794833,0.971498286,7.874249262,0.511314887,16.46433937,2.045259549,75.2,79.2006,38.07,42.03,24.74142759,22.81427332,4.914500237,67.03972626,14.94908483,35.48,6.34,17.94,10,16.5,13654
"Macao SAR, China",MAC,AS,0.66987537,0,0.502406527,0,0.502406527,0,0.837344212,0,65.8,77.60013186,NA,NA,28.06313327,315.279094,2.059390068,69.35510254,0.163745252,NA,NA,NA,1.5,22.10000038,78268
