,SporulNatural,SalNet,RataSom,RataAbScolar,RataInfract,EmigrantiDefinitiv,EmigrantiTemporar,AjutorSocial,NrPaturi,NrMedici,PIB,SupUtila,Export,Inoptari,ExecBVenituri,ExecBSubventii,Canalizare,PAVeg,PAAnim,ServAgr
 Maramures,1.564285714285714,-222.45238095238074,-0.6690476190476189,-0.2571428571428571,-383.3658536585365,-29.171920625,0.5260260904760798,-7.090789452309526,-10.967408995238202,-60.837190004761936,-5732.993132619053,-4.880491198214283,127.00653763809532,-27.081875562119038,-234.85959009523776,-137.67579235476188,-8.563633346428574,-1823.6624082509516,20.848029472285816,-58.72995546904762
 Mehedinti,-2.435714285714286,-183.45238095238074,3.830952380952381,0.1428571428571428,93.63414634146352,-37.944266735,74.00512709047621,31.630760867690476,-26.916486895238222,-54.929424704761914,-8359.229922619055,-17.625454508214283,-2357.1122139619047,-43.18729913211904,759.3207739047625,639.8799744452381,2.9626617735714262,1118.6321877490486,-22.641144527714232,-38.25852482704762
 Municipiul Bucuresti,2.664285714285714,1408.5476190476193,-2.569047619047619,-0.657142857142857,1104.6341463414635,96.798442355,-162.40958390952392,-38.45489137330953,585.0568876047616,508.3649219952381,76615.94839738094,3.43836621178572,3699.9862336380957,53.898996537880976,2332.796050904762,-285.46469365476185,47.48304053357143,-3695.5823727109514,-1420.9822591637142,175.1674035329524
 Mures,0.6642857142857141,79.54761904761926,-0.8690476190476191,0.5428571428571427,54.63414634146352,-41.83619068499999,2.3603840904761455,5.957678457690477,126.72184540476178,225.89852659523808,-3603.788122619051,-13.132593338214281,-1017.9354233619044,78.00930923788096,-286.0537880952379,-207.20383425476183,3.3825658535714282,-789.3152792509518,-99.54288152771414,-50.29970653204762
 Neamt,-1.0357142857142856,-264.45238095238074,0.7309523809523806,-0.15714285714285703,24.63414634146352,48.776456255000014,62.49278409047611,7.081446317690471,-96.89684229523823,-63.244566504761934,-9995.682312619054,-7.093960518214281,-2011.4365569619044,-29.050117162119037,-11.924269095237833,69.39219974523814,-13.028357486428568,-1101.6250072509515,-59.467757527714184,-10.86845592704762
 Olt,-3.635714285714286,25.547619047619264,2.4309523809523808,-0.15714285714285703,-564.3658536585365,-52.925947295,94.84189109047611,13.623949257690477,-122.58156779523824,-77.38121040476193,-9417.711452619053,-18.078459568214285,1202.2335096380957,-119.29786011211904,327.9463469047623,476.0366664452381,-19.28402589642857,2207.4512607490483,6.743557472285829,-4.032993797047617
 Prahova,-1.935714285714286,153.54761904761926,-1.269047619047619,-0.657142857142857,-227.36585365853648,-33.37238499499999,13.325084090476139,-18.558089472309526,-22.040198995238256,-95.05940460476194,5559.708897380944,-6.296279378214283,557.4255706380955,42.157178337880964,-265.2390320952377,-70.95284695476187,-3.061370166428574,-2220.7934142509516,-591.7236930277141,-51.31911786404762
 Salaj,1.3642857142857143,-112.45238095238074,0.6309523809523809,0.1428571428571428,-257.3658536585365,-54.082464224999995,-2.415934909523912,15.105780327690475,-10.721854995238232,-46.53230780476193,-1321.1212526190575,-4.663642348214282,97.49395663809537,-91.45624590211904,90.59166590476252,166.12617374523813,-2.5946888164285724,662.1642247490486,186.08422447228577,-47.10264147704762
 Satu Mare,0.8642857142857143,-149.45238095238074,-1.269047619047619,0.1428571428571428,-348.3658536585365,23.693303055000015,12.510440090476095,-1.6861506923095249,-80.29500029523831,-74.60255150476192,-4620.488852619055,-5.238398878214284,40.63718263809551,-95.00870794211903,129.40982890476243,130.65997414523815,-0.7272152764285735,1254.6932877490485,204.3628934722858,-46.35200208704762
 Sibiu,2.7642857142857142,316.54761904761926,-2.069047619047619,0.5428571428571427,-151.36585365853648,54.83097095500001,-98.21162890952382,-12.465781582309525,64.62275920476179,97.65114679523805,11270.768387380944,27.393795321785717,4766.366837638096,101.65023273788097,9.574166904762478,-195.20409515476183,30.50031259357143,-2253.7228012509513,-239.38204952771412,-20.595522067047618
 Suceava,3.4642857142857144,-214.45238095238074,1.2309523809523806,-0.8571428571428571,17.63414634146352,-15.83318604499999,-46.68806290952375,4.872790677690475,-139.68233449523825,-109.95498440476192,-11942.780912619055,12.561902861785718,-2056.0591968619046,22.740444037880962,-137.44393809523763,-28.64552795476186,-17.394262076428568,-715.7992042509518,362.51006847228587,-39.385817387047624
 Teleorman,-6.235714285714286,-299.45238095238074,3.9309523809523808,0.04285714285714293,-313.3658536585365,-1.4493292450000013,148.93409109047616,46.63714004769047,-51.529331895238215,-103.61798640476192,-12392.065982619053,-24.913032232214285,-2443.5683159619043,-133.91332780311905,-326.1689680952377,78.78175244523811,-23.29488335642857,2680.5869647490485,114.7581174722859,-20.973600787047616
 Timis,2.9642857142857144,650.5476190476193,-3.069047619047619,-0.9571428571428571,-9.36585365853648,75.626701055,-96.18609990952382,-32.00271843630953,166.4270198047617,404.0212712952381,17885.426617380945,44.414487941785715,7401.249945638096,-10.220380662119027,-0.26156709523775135,-185.02442765476184,15.08896345357143,771.9021457490485,296.58125247228577,11.893347002952375
 Tulcea,-2.635714285714286,-66.45238095238074,-0.1690476190476189,0.1428571428571428,267.6341463414635,35.26789645500001,94.31906309047622,-5.114004992309525,-198.73864919523828,-90.55545090476193,-2170.069792619055,-19.009379528214282,-68.08107736190459,58.720320637880974,464.98190090476237,97.88845584523813,-4.417643046428573,3515.3105907490485,632.8427124722857,80.00483733295238
 Valcea,1.4642857142857144,-245.45238095238074,-0.769047619047619,-0.2571428571428571,129.63414634146352,-48.76008326499999,-4.38055490952388,-10.352435442309528,56.808868004761734,-34.96687860476192,-4217.298152619056,-10.424201658214283,-1992.6429689619044,296.15963093788093,371.82116190476245,307.2056604452381,-6.796810286428574,-965.5332102509515,198.91972047228592,-48.43099470704762
 Vaslui,0.7642857142857142,-177.45238095238074,4.730952380952381,-0.05714285714285716,981.6341463414635,117.857488255,11.702241090476264,47.59079824769048,-93.16703259523831,-115.48183890476193,-16373.496602619052,-16.705393738214283,-2439.3597296619046,-120.27908880211903,329.00452590476243,253.1831272452381,-16.793937046428567,-126.56619425095141,193.82171747228585,-28.66026757704762
 Vrancea,-1.1357142857142861,-270.45238095238074,0.23095238095238058,0.5428571428571427,-345.3658536585365,-6.320141144999994,52.97314909047623,17.172282047690473,-212.81035889523827,-95.91457250476194,-10641.169082619053,7.7963717517857205,-2151.2324987619045,-116.41504155211904,15.31300690476246,216.93603654523815,-10.468733946428571,844.5028057490485,202.40832747228592,-22.505221437047616
